 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 2.200 -1.13174  0.26863
 2.205 -1.13033  0.29615
 2.210 -1.12878  0.32366
 2.215 -1.12710  0.35115
 2.220 -1.12527  0.37862
 2.225 -1.12331  0.40607
 2.230 -1.12121  0.43349
 2.235 -1.11897  0.46088
 2.240 -1.11660  0.48824
 2.245 -1.11409  0.51556
 2.250 -1.11145  0.54284
 2.255 -1.10866  0.57007
 2.260 -1.10575  0.59727
 2.265 -1.10269  0.62441
 2.270 -1.09950  0.65149
 2.275 -1.09618  0.67852
 2.280 -1.09272  0.70549
 2.285 -1.08912  0.73240
 2.290 -1.08539  0.75924
 2.295 -1.08153  0.78601
 2.300 -1.07753  0.81271
 2.305 -1.07340  0.83933
 2.310 -1.06914  0.86587
 2.315 -1.06474  0.89232
 2.320 -1.06022  0.91869
 2.325 -1.05556  0.94497
 2.330 -1.05077  0.97116
 2.335 -1.04585  0.99725
 2.340 -1.04079  1.02324
 2.345 -1.03561  1.04913
 2.350 -1.03030  1.07491
 2.355 -1.02486  1.10058
 2.360 -1.01930  1.12614
 2.365 -1.01360  1.15158
 2.370 -1.00778  1.17691
 2.375 -1.00183  1.20211
 2.380 -0.99576  1.22719
 2.385 -0.98956  1.25213
 2.390 -0.98324  1.27695
 2.395 -0.97679  1.30163
 2.400 -0.97022  1.32618
 2.405 -0.96353  1.35058
 2.410 -0.95672  1.37484
 2.415 -0.94978  1.39896
 2.420 -0.94273  1.42292
 2.425 -0.93555  1.44673
 2.430 -0.92826  1.47038
 2.435 -0.92085  1.49388
 2.440 -0.91332  1.51721
 2.445 -0.90568  1.54038
 2.450 -0.89792  1.56338
 2.455 -0.89004  1.58621
 2.460 -0.88205  1.60886
 2.465 -0.87395  1.63134
 2.470 -0.86574  1.65364
 2.475 -0.85742  1.67575
 2.480 -0.84898  1.69769
 2.485 -0.84044  1.71943
 2.490 -0.83179  1.74098
 2.495 -0.82303  1.76234
 2.500 -0.81417  1.78350
 2.505 -0.80520  1.80447
 2.510 -0.79612  1.82523
 2.515 -0.78694  1.84579
 2.520 -0.77766  1.86614
 2.525 -0.76828  1.88628
 2.530 -0.75880  1.90621
 2.535 -0.74922  1.92592
 2.540 -0.73954  1.94542
 2.545 -0.72977  1.96470
 2.550 -0.71989  1.98375
 2.555 -0.70993  2.00258
 2.560 -0.69987  2.02118
 2.565 -0.68972  2.03956
 2.570 -0.67947  2.05770
 2.575 -0.66914  2.07560
 2.580 -0.65872  2.09327
 2.585 -0.64821  2.11071
 2.590 -0.63761  2.12789
 2.595 -0.62693  2.14484
 2.600 -0.61616  2.16154
 2.605 -0.60531  2.17799
 2.610 -0.59438  2.19419
 2.615 -0.58337  2.21014
 2.620 -0.57228  2.22583
 2.625 -0.56111  2.24127
 2.630 -0.54987  2.25645
 2.635 -0.53855  2.27137
 2.640 -0.52715  2.28602
 2.645 -0.51569  2.30041
 2.650 -0.50415  2.31454
 2.655 -0.49254  2.32839
 2.660 -0.48087  2.34198
 2.665 -0.46912  2.35529
 2.670 -0.45731  2.36833
 2.675 -0.44544  2.38109
 2.680 -0.43350  2.39358
 2.685 -0.42150  2.40579
 2.690 -0.40944  2.41771
 2.695 -0.39733  2.42935
 2.700 -0.38515  2.44071
 2.705 -0.37292  2.45178
 2.710 -0.36063  2.46257
 2.715 -0.34829  2.47307
 2.720 -0.33590  2.48327
 2.725 -0.32346  2.49319
 2.730 -0.31097  2.50281
 2.735 -0.29843  2.51213
 2.740 -0.28585  2.52117
 2.745 -0.27322  2.52990
 2.750 -0.26055  2.53833
 2.755 -0.24784  2.54647
 2.760 -0.23509  2.55430
 2.765 -0.22229  2.56184
 2.770 -0.20947  2.56907
 2.775 -0.19660  2.57599
 2.780 -0.18371  2.58261
 2.785 -0.17078  2.58893
 2.790 -0.15782  2.59493
 2.795 -0.14483  2.60063
 2.800 -0.13181  2.60602
 2.805 -0.11877  2.61110
 2.810 -0.10570  2.61587
 2.815 -0.09261  2.62032
 2.820 -0.07950  2.62447
 2.825 -0.06636  2.62830
 2.830 -0.05321  2.63182
 2.835 -0.04005  2.63502
 2.840 -0.02686  2.63791
 2.845 -0.01367  2.64048
 2.850 -0.00046  2.64274
 2.855  0.01276  2.64468
 2.860  0.02599  2.64630
 2.865  0.03922  2.64761
 2.870  0.05246  2.64860
 2.875  0.06571  2.64926
 2.880  0.07896  2.64962
 2.885  0.09220  2.64965
 2.890  0.10545  2.64936
 2.895  0.11870  2.64876
 2.900  0.13194  2.64783
 2.905  0.14518  2.64659
 2.910  0.15841  2.64502
 2.915  0.17163  2.64314
 2.920  0.18484  2.64094
 2.925  0.19804  2.63841
 2.930  0.21122  2.63557
 2.935  0.22439  2.63241
 2.940  0.23755  2.62893
 2.945  0.25068  2.62513
 2.950  0.26380  2.62102
 2.955  0.27689  2.61658
 2.960  0.28996  2.61183
 2.965  0.30301  2.60676
 2.970  0.31603  2.60137
 2.975  0.32902  2.59566
 2.980  0.34199  2.58964
 2.985  0.35492  2.58331
 2.990  0.36782  2.57665
 2.995  0.38069  2.56969
 3.000  0.39352  2.56241
 3.005  0.40631  2.55481
 3.010  0.41907  2.54691
 3.015  0.43178  2.53869
 3.020  0.44445  2.53016
 3.025  0.45708  2.52132
 3.030  0.46967  2.51217
 3.035  0.48220  2.50271
 3.040  0.49469  2.49294
 3.045  0.50713  2.48287
 3.050  0.51952  2.47249
 3.055  0.53186  2.46181
 3.060  0.54414  2.45083
 3.065  0.55637  2.43954
 3.070  0.56853  2.42795
 3.075  0.58065  2.41606
 3.080  0.59270  2.40387
 3.085  0.60468  2.39139
 3.090  0.61661  2.37861
 3.095  0.62847  2.36553
 3.100  0.64026  2.35216
 3.105  0.65199  2.33850
 3.110  0.66365  2.32455
 3.115  0.67524  2.31031
 3.120  0.68675  2.29578
 3.125  0.69819  2.28097
 3.130  0.70956  2.26587
 3.135  0.72085  2.25049
 3.140  0.73207  2.23482
 3.145  0.74320  2.21888
 3.150  0.75426  2.20266
 3.155  0.76523  2.18617
 3.160  0.77612  2.16940
 3.165  0.78692  2.15236
 3.170  0.79764  2.13505
 3.175  0.80827  2.11747
 3.180  0.81882  2.09962
 3.185  0.82927  2.08151
 3.190  0.83963  2.06314
 3.195  0.84990  2.04451
 3.200  0.86008  2.02562
 3.205  0.87016  2.00647
 3.210  0.88014  1.98707
 3.215  0.89003  1.96742
